연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도
168,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634746788823,127.059972794149,정확(리 단위)
169,전라남도 담양군 대덕면 문학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2461690628922,127.066464546151,정확(리 단위)
170,전라남도 담양군 대덕면 문학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2461690628922,127.066464546151,정확(리 단위)
171,전라남도 담양군 대덕면 운암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2311124505945,127.052848072492,정확(리 단위)
172,전라남도 담양군 대덕면 운암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2311124505945,127.052848072492,정확(리 단위)
173,전라남도 담양군 대덕면 운암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2311124505945,127.052848072492,정확(리 단위)
174,전라남도 담양군 대덕면 용대리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2273650392453,127.075839007555,정확(리 단위)
175,전라남도 담양군 대덕면 용대리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2273650392453,127.075839007555,정확(리 단위)
176,전라남도 담양군 대덕면 갈전리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.19910972361,127.095833264595,정확(리 단위)
177,전라남도 담양군 대덕면 갈전리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.19910972361,127.095833264595,정확(리 단위)
178,전라남도 담양군 대덕면 운산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1963260240511,127.075950700053,정확(리 단위)
179,전라남도 담양군 대덕면 운산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1963260240511,127.075950700053,정확(리 단위)
180,전라남도 담양군 대덕면 운산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1963260240511,127.075950700053,정확(리 단위)
